display_name,base_model,reasoning_level,release_date,organization,country,training_compute_flop,num_benchmarks,aider_polyglot (Percent correct),apex_agents (Pass@1 score),arc_agi (Score),arc_agi_2 (Score),balrog (Average progress),cad_eval (Overall pass (%)),chess_puzzles (mean_score),cybench (Unguided % Solved),deepresearchbench (Average score),fictionlivebench (120k token score),frontiermath (mean_score),frontiermath_tier_4 (mean_score),gdpval (Win Rate (%)),geobench (ACW Avg Score),gpqa_diamond (mean_score),gso (Score OPT@1),hle (Accuracy),lech_mazur_writing (Mean score),live_bench (Global average),math_level_5 (mean_score),metr_time_horizons (Time horizon),os_world (Score),otis_mock_aime_2024_2025 (mean_score),posttrainbench (Average (%)),simplebench (Score (AVG@5)),simpleqa_verified (mean_score),swe_bench_bash (% Resolved),swe_bench_verified (mean_score),terminalbench (Accuracy mean),vpct (Correct),webdev_arena (Arena Score),weirdml (Accuracy)
GPT-5.5,gpt-5.5,low,2026-04-23,OpenAI,United States of America,,2,,,0.7617,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.5,gpt-5.5,medium,2026-04-23,OpenAI,United States of America,,2,,,0.9217,0.7042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.5,gpt-5.5,high,2026-04-23,OpenAI,United States of America,,2,,,0.945,0.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.5,gpt-5.5,xhigh,2026-04-23,OpenAI,United States of America,,4,,0.384,0.95,0.85,,,,,,,,,,,,0.402,,,,,,,,,,,,,,,,
GPT-5.5,gpt-5.5,unknown,2026-04-23,OpenAI,United States of America,,2,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,0.8200000000000001,,,
GPT-5.5,gpt-5.5-pre-release,xhigh,2026-04-23,OpenAI,United States of America,,7,,,,,,,0.54,,,,0.517,0.354,,,0.9400252525252524,,,,,,,,1.0,,,0.631,,0.8057851239669421,,,,
GPT-5.5 Pro,gpt-5.5-pro,high,2026-04-23,OpenAI,United States of America,,2,,,0.965,0.8458,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.5 Pro,gpt-5.5-pro,xhigh,2026-04-23,OpenAI,United States of America,,2,,,0.95,0.8416,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.5 Pro,gpt-5.5-pro,unknown,2026-04-23,OpenAI,United States of America,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.769,,,,,,,
GPT-5.5 Pro,gpt-5.5-pro-pre-release,high,2026-04-23,OpenAI,United States of America,,2,,,,,,,,,,,0.524,0.396,,,,,,,,,,,,,,,,,,,,
GPT-5.5 Pro,gpt-5.5-pro-pre-release,xhigh,2026-04-23,OpenAI,United States of America,,5,,,,,,,,,,,0.51,0.396,,,0.9392135642135644,,,,,,,,1.0,,,0.645,,,,,,
Claude Opus 4.7,claude-opus-4-7,high,2026-04-16,Anthropic,United States of America,,4,,,0.935,0.683,,,,,,,,,,,,0.441,,,,,,,,,,,,,,,,0.764
Claude Opus 4.7,claude-opus-4-7,xhigh,2026-04-16,Anthropic,United States of America,,7,,,,,,,0.3,,,,0.4379310344827586,0.2291666666666666,,,0.9015151515151516,,,,,,,,0.978,0.2856,,0.506,,,,,,
Claude Opus 4.7,claude-opus-4-7,max,2026-04-16,Anthropic,United States of America,,4,,0.339,0.92,0.758,,,,,,,,,,,,,,,,,,,,,,,,0.8347107438016529,,,,
Claude Opus 4.7,claude-opus-4-7,unknown,2026-04-16,Anthropic,United States of America,,3,,,,,,,,,,,,,,,,,0.362,,,,,,,,0.629,,,,,,,0.764
GPT-5.4 mini,gpt-5.4-mini-2026-03-17,high,2026-03-17,OpenAI,United States of America,,8,,,0.58,0.1319,,,0.18,,,,0.2828,0.0208,,,0.8358585858585859,,,,,,,,0.8722222222222222,,,0.286,,,,,,
GPT-5.4 nano,gpt-5.4-nano-2026-03-17,high,2026-03-17,OpenAI,United States of America,,8,,,0.3817,0.0361,,,0.3,,,,0.2586,0.0625,,,0.7847,,,,,,,,0.8778,,,0.12,,,,,,
GPT-5.4,gpt-5.4-2026-03-05,low,2026-03-05,OpenAI,United States of America,,2,,,0.6817000000000001,0.2917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.4,gpt-5.4-2026-03-05,medium,2026-03-05,OpenAI,United States of America,,2,,,0.8617,0.5542,,,,,,,,,,,,,,,,,,,,,,,,,,,,
