model,reasoning_tokens,answer_tokens
Qwen3.5 2B,385151380.47150975,4848619.528490197
Step 3.5Flash 2603,252556476.55784518,7443523.4421548555
Qwen3.5 4B,231465902.17603508,8534097.82396494
GPT-5.4 mini(xhigh),234869694.49014214,5130305.50985787
Qwen3.5 0.8B,226697101.5506786,3302898.449321369
GPT-5.4 nano(xhigh),203182735.7031624,6817264.296837587
Step 3.5Flash,194263148.17453262,5736851.825467372
Qwen3.5 9B,188346718.38230127,11653281.617698733
GPT-5.2Codex(xhigh),196728239.3804384,3271760.619561603
ClaudeSonnet 4.6(max),188735892.0489526,11264107.951047393
GLM-4.7,163124722.81742644,6875277.18257357
Claude Opus4.6 (max),151607015.5634581,8392984.436541887
TrinityLargeThinking,143256998.40247247,6743001.597527523
Nanbeige4.1-3B,136745942.3194694,13254057.680530611
Falcon-H1R-7B,133337969.90170996,6662030.098290029
NVIDIANemotron 3Nano,137558948.38777247,2441051.6122275414
GPT-5.2(xhigh),125378163.29501145,4621836.704988551
Tri-21B-thinkPreview,119212669.62158045,10787330.37841954
Motif-2-12.7B,123372202.89285149,6627797.107148522
GPT-5.4(xhigh),113944200.2708928,6055799.729107193
Solar Pro 3,103169686.90063952,16830313.099360485
Solar Open100B,112853345.31702787,7146654.682972135
K-EXAONE,101268028.76473552,8731971.235264478
GLM-5.1,108214756.10803832,1785243.8919616675
NVIDIANemotron 3Super,104307503.42332074,5692496.576679265
DeepSeekV3.2Speciale,109117187.04010539,882812.959894609
GPT-5 nano(high),104812791.85111716,5187208.148882826
GLM-5,102668736.3600549,7331263.639945112
K2-V2 (high),106071504.97575648,3928495.024243508
Gemini 2.5Flash-Lite,85407564.2419051,24592435.75809491
Qwen3.5 0.8B,0.0,100000000.0
Qwen3.6 Plus,84512059.27842148,15487940.721578516
Ring-flash-2.0,98169799.75406992,1830200.2459300768
Qwen3.5 35BA3B,89483917.644947,10516082.35505299
Qwen3.5 2B,0.0,100000000.0
Kimi K2Thinking,95188381.82862164,4811618.171378362
Qwen3 VL 32B,94054871.5672403,5945128.4327597
Grok 3 miniReasoning(high),95055034.10914814,4944965.890851859
K2 Think V2,95134605.7916246,3865394.208375397
MiMo-V2-Flash,93946073.7982321,4053926.2017678986
Qwen3.5 27B,87744938.59956196,10255061.400438044
MiMo-V2-Flash(Feb 2026),92142921.29315794,4857078.706842072
GLM-5-Turbo,87190249.38853353,6809750.611466468
Qwen3.5 122BA10B,81888185.09701084,9111814.902989155
GLM-4.6V,76957766.81480262,13042233.185197383
Kimi K2.5,82171353.47259136,6828646.527408646
Grok 4,84857313.80171487,3142686.198285135
MiMo-V2-Omni,81711576.12051459,6288423.879485423
Claude 4.5Haiku,79035847.69760378,7964152.30239623
MiniMax-M2.7,78583256.87434112,8416743.125658875
MiMo-V2-Omni-0327,79633654.7993185,7366345.200681496
Qwen3.5 397BA17B,79734954.40398441,6265045.596015598
Qwen3 MaxThinking,79567689.54642557,6432310.45357444
Nova 2.0 Omni,0.0,85000000.0
o4-mini(high),78980915.73351815,3019084.266481847
Step3 VL 10B,73007247.37319942,8992752.626800584
Qwen3.5 9B,0.0,78000000.0
gpt-oss-120B(high),73699408.95849968,4300591.041500314
GPT-5.3Codex(xhigh),72837449.95001079,4162550.049989207
MiMo-V2-Pro,70463782.01103453,6536217.988965459
Sarvam 30B(high),73257614.59009527,3742385.409904733
GPT-5 (high),71839268.15094393,4160731.849056061
GLM-5.1,0.0,76000000.0
Qwen3.5 4B,0.0,75000000.0
GPT-5.1Codex mini(high),72505573.13375464,2494426.866245362
Apriel-v1.6-15B-Thinker,71822731.55222826,3177268.4477717467
Qwen3 Omni30B A3B,69042411.05748263,5957588.942517371
INTELLECT-3,70556140.48180284,3443859.518197157
Gemma 4 26BA4B,66505957.58728451,6494042.412715487
GPT-5 Codex(high),68345997.93647312,3654002.0635268833
Gemini 3Flash,67791325.03551303,4208674.964486971
Claude Opus4.5,64358067.91909036,7641932.08090964
Sarvam 105B(high),66324717.53301643,3675282.466983574
MiniMax-M2,65342190.603909545,4657809.396090455
Olmo 3 7BThink,64552500.62345719,4447499.376542808
Mercury 2,64824889.87544371,4175110.1245562863
GPT-5 mini(high),65186125.314836696,3813874.6851633075
NemotronCascade 230B A3B,64154923.82994579,4845076.170054219
GPT-5.1(high),63824248.076776244,5175751.923223758
NVIDIANemotronNano 12B v2 VL,59033483.20982154,9966516.790178467
GLM-4.5-Air,64301108.94014435,3698891.059855649
Nova 2.0 Lite,0.0,66000000.0
Grok CodeFast 1,53351439.0220662,12648560.977933807
GLM-4.7-Flash,56053361.892771825,7946638.107228171
Claude 4.5Sonnet,56525414.95472856,7474585.045271441
Qwen3 235BA22B 2507,60394261.430276364,2605738.569723635
DeepSeek R1(Jan),40300397.69095515,21699602.309044857
Qwen3 VL 4B,58488532.080372594,3511467.919627405
Olmo 3 32BThink,60640795.37323652,1359204.626763476
Nova 2.0Lite(medium),57792165.30013796,4207834.699862036
Mi:dm K 2.5Pro,59297179.351696454,2702820.648303547
DeepSeekV3.2,56856823.54012793,4143176.459872068
gpt-oss-20B(high),57993368.19481586,3006631.8051841347
o3-mini(high),58282669.525682434,2717330.474317564
Grok 4.200309 v2,55819354.51730622,5180645.482693778
EXAONE 4.032B,56626648.58399006,4373351.416009937
GLM-4.5,51867085.95479607,9132914.045203935
DeepSeekV3.1,33360236.209201142,26639763.79079886
MiniMax-M2.1,50699335.6197672,7300664.380232801
Muse Spark,52346145.23581864,5653854.764181359
Olmo 3.1 32BThink,57314920.39280001,685079.6071999861
Claude 3.7Sonnet,52488100.97002934,5511899.029970665
Tri-21B-Think,51729632.63153768,6270367.368462315
GLM-4.6,52133458.48598863,4866541.514011367
Gemini 3.1Pro Preview,52710468.54767345,4289531.452326551
GPT-5.1Codex (high),53986653.96621249,3013346.033787509
MiniMax-M2.5,50752110.86075773,5247889.139242272
Gemini 3 ProPreview(high),50993239.3274911,5006760.672508904
Claude 4Sonnet,49026853.56770101,5973146.432298988
Gemini 2.5Pro,49499510.06312013,5500489.936879872
Grok 4.200309,50631934.303598255,3368065.6964017455
Seed-OSS-36B-Instruct,49401438.93787991,4598561.062120091
LlamaNemotronSuper 49B v1.5,50014778.141084164,2985221.8589158384
Qwen3 4B2507,50351589.85953573,2648410.1404642677
MistralSmall 4,48827772.83870967,4172227.1612903383
Qwen3 30BA3B 2507,49908921.01823103,3091078.9817689746
Grok 4.1Fast,50176838.77169882,2823161.2283011773
Gemini 3.1Flash-LitePreview,50330249.51069861,2669750.489301395
Gemini 2.5Flash,42178028.750685,9821971.249315007
Qwen3 Next80B A3B,48048713.42441499,2951286.575585011
