model_id,name,slug,company,company_slug,artificial_analysis_index,active_parameter_count,total_parameter_count,release_date,country,cost_to_run_artificial_analysis_index,price_1m_blended_3_to_1,price_1m_input_tokens,price_1m_output_tokens,median_output_tokens_per_second,median_time_to_first_token_seconds,median_time_to_first_answer_token,coding_index,math_index,mmlu_pro,gpqa,hle,livecodebench,scicode,math_500,aime
c298d1a8-606c-4971-8613-ccdaaf941043,GPT-5.4 nano (Non-Reasoning),gpt-5-4-nano-non-reasoning,OpenAI,openai,24.4,,,2026-03-17,,,0.463,0.2,1.25,176.432,0.522,0.522,27.9,,,0.558,0.042,,0.352,,
f0083258-8646-45b8-8082-7aaf6c2ea82a,gpt-oss-120B (high),gpt-oss-120b,OpenAI,openai,33.3,,,2025-08-05,,,0.263,0.15,0.6,215.852,0.527,9.792,28.6,93.4,0.808,0.782,0.185,0.878,0.389,,
36f73aaf-d38a-4b56-a2b3-d04d17186910,gpt-oss-20B (high),gpt-oss-20b,OpenAI,openai,24.5,,,2025-08-05,,,0.094,0.06,0.2,286.09,0.393,7.384,18.5,89.3,0.748,0.688,0.098,0.777,0.344,,
ba242e40-83b7-4cd3-a0e0-b56237984914,GPT-5.4 mini (xhigh),gpt-5-4-mini,OpenAI,openai,48.9,,,2026-03-17,,,1.688,0.75,4.5,178.464,3.697,3.697,51.5,,,0.875,0.266,,0.499,,
d4fc3f33-f2b0-4da1-88ee-f1f82bd4de31,GPT-5.4 nano (xhigh),gpt-5-4-nano,OpenAI,openai,44.0,,,2026-03-17,,,0.463,0.2,1.25,172.841,2.4,2.4,43.9,,,0.817,0.265,,0.469,,
4c111fbc-d13a-42b4-858c-1dc17fe3c1d1,Grok-1,grok-1,xAI,xai,11.7,,,2024-03-17,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
392063ba-c3b5-47e8-ba67-a7b0b34f6824,GPT-5.4 mini (medium),gpt-5-4-mini-medium,OpenAI,openai,37.7,,,2026-03-17,,,1.688,0.75,4.5,160.488,5.011,5.011,37.5,,,0.823,0.171,,0.442,,
493f6a1e-7717-4e98-9d6f-548b92c4702d,GPT-5.4 (Non-reasoning),gpt-5-4-non-reasoning,OpenAI,openai,35.4,,,2026-03-05,,,5.625,2.5,15.0,64.237,0.521,0.521,41.0,,,0.748,0.106,,0.471,,
59b5b14b-5365-4ee7-824a-18a8e6309644,GPT-5.3 Codex (xhigh),gpt-5-3-codex,OpenAI,openai,53.6,,,2026-02-05,,,4.813,1.75,14.0,80.64,46.158,46.158,53.1,,,0.915,0.399,,0.532,,
8869f28a-a6ff-487f-8d32-93fe335fdda5,GPT-5.4 nano (medium),gpt-5-4-nano-medium,OpenAI,openai,38.1,,,2026-03-17,,,0.463,0.2,1.25,178.576,2.56,2.56,35.0,,,0.761,0.147,,0.384,,
c99f3bde-7c08-4de8-bd5c-8ee9123ebffa,gpt-oss-120B (low),gpt-oss-120b-low,OpenAI,openai,24.5,,,2025-08-05,,,0.263,0.15,0.6,215.408,0.532,9.816,15.5,66.7,0.775,0.672,0.052,0.707,0.36,,
16149b9c-a1e9-4669-a5cb-ff3c00d78f89,gpt-oss-20B (low),gpt-oss-20b-low,OpenAI,openai,20.8,,,2025-08-05,,,0.094,0.06,0.2,216.198,0.445,9.696,14.4,62.3,0.718,0.611,0.051,0.652,0.34,,
ae447455-940d-4d30-9139-a664fa896eaf,GPT-5.4 mini (Non-Reasoning),gpt-5-4-mini-non-reasoning,OpenAI,openai,23.3,,,2026-03-17,,,1.688,0.75,4.5,154.662,0.45,0.45,25.3,,,0.606,0.057,,0.396,,
a89c4b28-2d8c-456e-88ea-255fb51fd2b6,GPT-5.4 (xhigh),gpt-5-4,OpenAI,openai,56.8,,,2026-03-05,,,5.625,2.5,15.0,79.231,163.824,163.824,57.3,,,0.92,0.416,,0.566,,
5bb1f426-2d64-4d03-99fb-8041ee85c33b,GPT-5.4 Pro (xhigh),gpt-5-4-pro,OpenAI,openai,,,,2026-03-05,,,67.5,30.0,180.0,0.0,0.0,0.0,,,,,,,,,
16c5b637-8bce-4252-81f2-1b87a36a4e4c,o3,o3,OpenAI,openai,38.4,,,2025-04-16,,,3.5,2.0,8.0,114.721,6.586,6.586,38.4,88.3,0.853,0.827,0.2,0.808,0.41,0.992,0.903
976cc8ad-7904-4056-83c5-960181f47d5f,Llama 3.3 Instruct 70B,llama-3-3-instruct-70b,Meta,meta,14.5,,,2024-12-06,,,0.64,0.58,0.71,101.192,0.548,0.548,10.7,7.7,0.713,0.498,0.04,0.288,0.26,0.773,0.3
45c87531-2d57-48e0-8012-202cd636189e,Llama 3.1 Instruct 405B,llama-3-1-instruct-405b,Meta,meta,17.4,,,2024-07-23,,,3.688,2.75,6.5,31.285,0.711,0.711,14.5,3.0,0.732,0.515,0.042,0.305,0.299,0.703,0.213
