benchmark,family_id,variant_count,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
critpt,claude-3-7-sonnet,2,Claude 3.7 Sonnet,claude-3-7-sonnet,255710.5373148251,0.0,134289.46268517486,0.0,0.0,134289.46268517486
critpt,claude-3-7-sonnet,2,Claude 3.7Sonnet,claude-3-7-sonnet,235445.98320291968,1651303.2080192482,113250.80877783218,0.9,0.9,1764554.0167970804
critpt,claude-4-5-haiku,2,Claude 4.5 Haiku,claude-4-5-haiku-reasoning,234808.3317786303,0.0,125191.66822136976,0.0,0.0,125191.66822136976
critpt,claude-4-5-haiku,2,Claude 4.5Haiku,claude-4-5-haiku-reasoning,221027.3885695219,2175818.953707997,103153.65772248089,0.0,0.0,2278972.6114304783
critpt,claude-4-5-sonnet,2,Claude 4.5 Sonnet,claude-4-5-sonnet-thinking,231105.26098568385,0.0,108894.73901431612,0.0,0.0,108894.73901431612
critpt,claude-4-5-sonnet,2,Claude 4.5Sonnet,claude-4-5-sonnet-thinking,221140.975587894,1980780.7234931665,98078.3009189398,1.1,0.011,2078859.0244121065
critpt,claude-4-sonnet,2,Claude 4 Sonnet,claude-4-sonnet,248729.26163673232,0.0,141270.7383632677,1.1,0.011,141270.7383632677
critpt,claude-4-sonnet,2,Claude 4Sonnet,claude-4-sonnet,218213.9687669704,1484719.2603679614,97066.7708650684,0.3,0.3,1581786.0312330297
critpt,claude-opus-4-5,2,Claude Opus 4.5,claude-opus-4-5,240037.80624300023,0.0,119962.19375699972,0.3,0.3,119962.19375699972
critpt,claude-opus-4-5,2,Claude Opus4.5,claude-opus-4-5,215458.0439925285,2391779.2016103566,92762.7543971148,4.6,0.046,2484541.956007472
critpt,claude-opus-4-6,2,Claude Opus 4.6(high),claude-opus-4-6,737469.9305517168,0.0,662530.0694482832,2.8,0.0279999999999999,662530.0694482832
critpt,claude-opus-4-6,2,Claude Opus4.6 (max),claude-opus-4-6-adaptive,1691410.737431347,11234621.143394869,73968.11917378532,12.6,0.126,11308589.262568654
critpt,claude-sonnet-4-6,2,Claude Sonnet 4.6(Non-reasoning),claude-sonnet-4-6,139466.658667547,0.0,560533.3413324531,0.9,0.9,560533.3413324531
critpt,claude-sonnet-4-6,2,ClaudeSonnet 4.6(max),claude-sonnet-4-6-adaptive,135746.1142222269,15827083.847059593,37170.03871818127,3.1,0.031,15864253.885777771
critpt,deepseek-v3-1,2,DeepSeek V3.1,deepseek-v3-1,389146.2844189255,0.0,280853.7155810745,0.0,0.0,280853.7155810745
critpt,deepseek-v3-1,2,DeepSeekV3.1,deepseek-v3-1,261722.653136849,1510586.600463171,127690.7463999801,2.0,0.02,1638277.346863151
critpt,deepseek-v3-1-terminus,2,DeepSeek V3.1Terminus,deepseek-v3-1-terminus,404147.33008539205,0.0,285852.66991460795,0.0,0.0,285852.66991460795
critpt,deepseek-v3-1-terminus,2,DeepSeekV3.1Terminus,deepseek-v3-1-terminus,915836.587024012,1427614.1278272234,56549.28514876481,1.7,0.017,1484163.412975988
critpt,deepseek-v3-2,2,DeepSeek V3.2,deepseek-v3-2-reasoning,544772.1210344391,0.0,425227.87896556087,0.9,0.9,425227.87896556087
critpt,deepseek-v3-2,2,DeepSeekV3.2,deepseek-v3-2-reasoning,246319.53690883613,2515438.661018681,138241.80207248277,2.9,0.0289999999999999,2653680.4630911634
critpt,deepseek-v3-2-reasoning-0925,2,DeepSeek V3.2 Exp,deepseek-v3-2-reasoning-0925,551512.9777019562,0.0,428487.0222980439,1.4,0.0139999999999999,428487.0222980439
critpt,deepseek-v3-2-reasoning-0925,2,DeepSeekV3.2 Exp,deepseek-v3-2-reasoning-0925,273979.1493444254,1578161.8164374656,147859.034218109,1.4,0.0139999999999999,1726020.8506555746
critpt,exaone-4-0-1-2b,2,Exaone 4.0 1.2B,exaone-4-0-1-2b,233788.34612128377,0.0,116211.65387871626,0.0,0.0,116211.65387871626
critpt,exaone-4-0-1-2b,2,Exaone 4.01.2B,exaone-4-0-1-2b,246980.15509495267,825245.3057565481,127774.53914849929,0.0,0.0,953019.8449050472
critpt,exaone-4-0-32b,2,EXAONE 4.0 32B,exaone-4-0-32b,252581.4631057325,0.0,137418.53689426742,0.0,0.0,137418.53689426742
critpt,exaone-4-0-32b,2,EXAONE 4.032B,exaone-4-0-32b,261174.0441078204,1280930.3602153223,157895.5956768573,0.0,0.0,1438825.9558921796
critpt,gemini-2-5-flash-lite-preview-09-2025,2,Gemini 2.5Flash-Lite (Sep),gemini-2-5-flash-lite-preview-09-2025-reasoning,872366.8469942178,0.0,927633.1530057822,0.0,0.0,927633.1530057822
critpt,gemini-2-5-flash-lite-preview-09-2025,2,Gemini 2.5Flash-Lite(Sep),gemini-2-5-flash-lite-preview-09-2025-reasoning,309288.40409218526,1359954.288651432,230757.3072563829,0.0,0.0,1590711.5959078148
critpt,gemini-2-5-flash-preview-09-2025,2,Gemini 2.5 Flash(Sep),gemini-2-5-flash-preview-09-2025,876898.2568719271,0.0,823101.7431280729,0.0,0.0,823101.7431280729
critpt,gemini-2-5-flash-preview-09-2025,2,Gemini 2.5Flash (Sep),gemini-2-5-flash-preview-09-2025,284422.4802085109,1740337.2150813858,175240.30471010317,0.3,0.3,1915577.519791489
critpt,gemini-2-5-flash-reasoning-04-2025,2,Gemini 2.5Flash,gemini-2-5-flash-reasoning-04-2025,434097.0504612805,1526679.9797258547,339222.96981286485,1.1,0.011,1865902.94953872
critpt,gemini-2-5-flash-reasoning-04-2025,2,Gemini 2.5 Flash,gemini-2-5-flash-reasoning-04-2025,2781231.319811928,0.0,4018768.680188072,1.4,0.0139999999999999,4018768.680188072
critpt,gemini-3-flash,2,Gemini 3 Flash,gemini-3-flash-reasoning,249742.210967421,0.0,130257.789032579,1.4,0.0139999999999999,130257.789032579
critpt,gemini-3-flash,2,Gemini 3Flash,gemini-3-flash-reasoning,232687.7362465575,3533350.4420063994,133961.82174704294,8.6,0.086,3667312.263753442
critpt,gemini-3-pro,2,Gemini 3 ProPreview(low),gemini-3-pro-low,1191522.280260105,43037.43429210616,1165440.285447789,0.0,0.0,1208477.719739895
critpt,gemini-3-pro,2,Gemini 3 ProPreview(high),gemini-3-pro,336433.1098861548,1904840.271956044,258726.6181578012,9.1,0.091,2163566.890113845
critpt,gemma-4-26b-a4b,2,Gemma 4 26B A4B,gemma-4-26b-a4b,141007.70335025038,0.0,958992.2966497496,0.0,0.0,958992.2966497496
critpt,gemma-4-26b-a4b,2,Gemma 4 26BA4B,gemma-4-26b-a4b,139710.0767002143,4080054.689280245,180235.2340195409,0.0,0.0,4260289.923299786
critpt,gpt-5,4,GPT-5 (minimal),gpt-5-minimal,299935.5041094181,0.0,180064.49589058192,0.0,0.0,180064.49589058192
critpt,gpt-5,4,GPT-5 (low),gpt-5-low,264216.21577885427,332506.3752718834,143277.40894926232,1.1,0.011,475783.7842211457
critpt,gpt-5,4,GPT-5(medium),gpt-5-medium,276278.02660307,1166831.3066877062,156890.66670922397,0.0,0.0,1323721.97339693
critpt,gpt-5,4,GPT-5 (high),gpt-5,289883.5714662298,2139912.3021611893,170204.12637258085,5.7,0.057,2310116.42853377
critpt,gpt-5-1,2,GPT-5.1,gpt-5-1-non-reasoning,385730.0248352642,0.0,264269.9751647358,0.0,0.0,264269.9751647358
critpt,gpt-5-1,2,GPT-5.1(high),gpt-5-1,455748.8307395344,2012690.3107850363,331560.85847542936,4.9,0.049,2344251.169260465
critpt,gpt-5-2,3,GPT-5.2,gpt-5-2-non-reasoning,291660.55939007393,0.0,168339.4406099261,0.6,0.6,168339.4406099261
critpt,gpt-5-2,3,GPT-5.2(medium),gpt-5-2-medium,299197.2670215281,826393.8984666743,174408.83451179747,7.9,0.079,1000802.7329784718
critpt,gpt-5-2,3,GPT-5.2(xhigh),gpt-5-2,302393.9067353322,3613616.343688645,183989.74957602285,11.6,0.1159999999999999,3797606.093264668
critpt,gpt-5-4,2,GPT-5.4(Non-reasoning),gpt-5-4-non-reasoning,139611.9166446567,0.0,220388.0833553433,0.6,0.6,220388.0833553433
critpt,gpt-5-4,2,GPT-5.4(xhigh),gpt-5-4,138905.9474561798,5424454.413447135,236639.6390966854,23.4,0.2339999999999999,5661094.052543821
critpt,gpt-5-4-mini,3,GPT-5.4 mini,gpt-5-4-mini-non-reasoning,140260.44547236897,0.0,79739.554527631,0.0,0.0,79739.554527631
critpt,gpt-5-4-mini,3,GPT-5.4 mini(medium),gpt-5-4-mini-medium,142196.45125645865,1591372.4153125272,66431.13343101417,2.9,0.0289999999999999,1657803.5487435414
