benchmark,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
critpt,Apertus 70BInstruct,apertus-70b-instruct,115843.49627617632,0.0,684156.5037238237,0.0,0.0,684156.5037238237
critpt,Apertus 8BInstruct,apertus-8b-instruct,136942.8218182866,0.0,153057.1781817134,0.0,0.0,153057.1781817134
critpt,Apriel-v1.5-15B-Thinker,apriel-v1-5-15b-thinker,251037.1327300122,2597491.490106361,151471.37716362617,1.1,0.011,2748962.8672699872
critpt,Apriel-v1.6-15B-Thinker,apriel-v1-6-15b-thinker,213210.2628853437,1076599.8308561172,110189.90625853912,0.3,0.3,1186789.7371146565
critpt,Claude 3 Haiku,claude-3-haiku,141431.13050597708,0.0,128568.86949402292,0.0,0.0,128568.86949402292
critpt,Claude 3.5 Haiku,claude-3-5-haiku,175096.9185000524,0.0,54903.08149994761,0.0,0.0,54903.08149994761
critpt,Claude 3.7 Sonnet,claude-3-7-sonnet,255710.5373148251,0.0,134289.46268517486,0.0,0.0,134289.46268517486
critpt,Claude 3.7Sonnet,claude-3-7-sonnet,235445.98320291968,1651303.2080192482,113250.80877783218,0.9,0.9,1764554.0167970804
critpt,Claude 4 Sonnet,claude-4-sonnet,248729.26163673232,0.0,141270.7383632677,1.1,0.011,141270.7383632677
critpt,Claude 4.1Opus,claude-4-1-opus-thinking,,,,0.0,0.0,
critpt,Claude 4.5 Haiku,claude-4-5-haiku-reasoning,234808.3317786303,0.0,125191.66822136976,0.0,0.0,125191.66822136976
critpt,Claude 4.5 Sonnet,claude-4-5-sonnet-thinking,231105.26098568385,0.0,108894.73901431612,0.0,0.0,108894.73901431612
critpt,Claude 4.5Haiku,claude-4-5-haiku-reasoning,221027.3885695219,2175818.953707997,103153.65772248089,0.0,0.0,2278972.6114304783
critpt,Claude 4.5Sonnet,claude-4-5-sonnet-thinking,221140.975587894,1980780.7234931665,98078.3009189398,1.1,0.011,2078859.0244121065
critpt,Claude 4Sonnet,claude-4-sonnet,218213.9687669704,1484719.2603679614,97066.7708650684,0.3,0.3,1581786.0312330297
critpt,Claude Opus 4.5,claude-opus-4-5,240037.80624300023,0.0,119962.19375699972,0.3,0.3,119962.19375699972
critpt,Claude Opus 4.6(high),claude-opus-4-6,737469.9305517168,0.0,662530.0694482832,2.8,0.0279999999999999,662530.0694482832
critpt,Claude Opus4.5,claude-opus-4-5,215458.0439925285,2391779.2016103566,92762.7543971148,4.6,0.046,2484541.956007472
critpt,Claude Opus4.6 (max),claude-opus-4-6-adaptive,1691410.737431347,11234621.143394869,73968.11917378532,12.6,0.126,11308589.262568654
critpt,Claude Sonnet 4.6(Non-reasoning),claude-sonnet-4-6,139466.658667547,0.0,560533.3413324531,0.9,0.9,560533.3413324531
critpt,"Claude Sonnet 4.6(Non-reasoning,Low Effort)",claude-sonnet-4-6-non-reasoning-low-effort,138039.6719680356,0.0,231960.3280319644,0.9,0.9,231960.3280319644
critpt,ClaudeSonnet 4.6(max),claude-sonnet-4-6-adaptive,135746.1142222269,15827083.847059593,37170.03871818127,3.1,0.031,15864253.885777771
critpt,Cogito v2.1,,202189.0307262603,587624.3642752812,80186.60499845854,0.0,0.0,667810.9692737397
