canonical_benchmark,source,model,model_slug,company_slug,release_date,score_raw,reasoning_tokens,answer_tokens,total_inference_tokens
AIME,aa,Apriel-v1.5-15B-Thinker,apriel-v1-5-15b-thinker,servicenow,2025-09-30,0.875,673555.467106386,22162.81912776446,695718.2862341504
AIME,aa,Apriel-v1.6-15B-Thinker,apriel-v1-6-15b-thinker,servicenow,2025-11-25,0.88,336920.1536967445,18719.250095005067,355639.4037917496
AIME,aa,Claude 3.7 Sonnet,claude-3-7-sonnet,anthropic,2025-02-24,0.21,0.0,27627.310448887405,27627.310448887405
AIME,aa,Claude 3.7Sonnet,claude-3-7-sonnet,anthropic,2025-02-24,0.563,671456.4530734495,24220.928413671503,695677.3814871211
AIME,aa,Claude 4 Opus,claude-4-opus-thinking,anthropic,2025-05-22,0.363,0.0,32689.58031837933,32689.58031837933
AIME,aa,Claude 4 Sonnet,claude-4-sonnet,anthropic,2025-05-22,0.38,0.0,34628.113879003766,34628.113879003766
AIME,aa,Claude 4.5 Haiku,claude-4-5-haiku-reasoning,anthropic,2025-10-15,0.39,0.0,33641.950959488466,33641.950959488466
AIME,aa,Claude 4.5 Sonnet,claude-4-5-sonnet-thinking,anthropic,2025-09-29,0.37,0.0,30750.183418929057,30750.183418929057
AIME,aa,Claude Opus 4.5,claude-opus-4-5,anthropic,2025-11-24,0.627,0.0,30650.522728585704,30650.522728585704
AIME,aa,Command A,command-a,cohere,2025-03-13,0.13,0.0,27599.64570416316,27599.64570416316
AIME,aa,DeepSeek R1(Jan),deepseek-r1-0120,deepseek,2025-01-20,0.68,319930.66720257275,15745.578778134872,335676.24598070764
AIME,aa,DeepSeek R10528,deepseek-r1,deepseek,2025-05-28,0.76,532618.4707975548,23646.915164582264,556265.3859621371
AIME,aa,DeepSeek R10528 Qwen38B,deepseek-r1-qwen3-8b,deepseek,2025-05-29,0.637,507011.21370245656,8661.202291478448,515672.415993935
AIME,aa,DeepSeek R1Distill Qwen1.5B,deepseek-r1-distill-qwen-1-5b,deepseek,2025-01-20,0.22,744787.5099760578,50919.7924980046,795707.3024740624
AIME,aa,DeepSeek R1Distill Qwen14B,deepseek-r1-distill-qwen-14b,deepseek,2025-01-20,0.557,275886.8136063036,9821.684658690068,285708.49826499366
AIME,aa,DeepSeek R1Distill Qwen32B,deepseek-r1-distill-qwen-32b,deepseek,2025-01-20,0.63,202086.18851834955,13560.73295771772,215646.92147606728
AIME,aa,DeepSeek R1DistillLlama 70B,deepseek-r1-distill-llama-70b,deepseek,2025-01-20,0.537,300175.4847044595,15464.439174062967,315639.9238785225
AIME,aa,DeepSeek R1DistillLlama 8B,deepseek-r1-distill-llama-8b,deepseek,2025-01-20,0.413,317667.24776639807,8035.065736907146,325702.3135033052
AIME,aa,DeepSeek V3 (Dec),deepseek-v3,deepseek,2024-12-26,0.26,0.0,135545.31808064622,135545.31808064622
AIME,aa,DeepSeek V3 0324,deepseek-v3-0324,deepseek,2025-03-25,0.41,0.0,88636.95525480818,88636.95525480818
AIME,aa,DeepSeek V3.1,deepseek-v3-1,deepseek,2025-08-21,0.497,0.0,79636.0116166507,79636.0116166507
AIME,aa,DeepSeek V3.1Terminus,deepseek-v3-1-terminus,deepseek,2025-09-22,0.537,0.0,88676.82518419313,88676.82518419313
AIME,aa,DeepSeek V3.2,deepseek-v3-2-reasoning,deepseek,2025-12-01,0.59,0.0,105679.08785510866,105679.08785510866
AIME,aa,DeepSeek V3.2 Exp,deepseek-v3-2-reasoning-0925,deepseek,2025-09-29,0.5770000000000001,0.0,89675.97789252023,89675.97789252023
AIME,aa,DeepSeekV3.1,deepseek-v3-1,deepseek,2025-08-21,0.897,442428.7028518859,33247.96737860241,475676.6702304883
AIME,aa,DeepSeekV3.1Terminus,deepseek-v3-1-terminus,deepseek,2025-09-22,0.897,441101.98163363984,34576.46268666065,475678.4443203005
AIME,aa,DeepSeekV3.2,deepseek-v3-2-reasoning,deepseek,2025-12-01,0.92,451108.5417489501,14596.992359863669,465705.53410881374
