Model,AA_name,aa_index,eci,eci_ci_low,eci_ci_high,reasoning_tokens,answer_tokens,aa_output_tokens
Claude 2,Claude 2.0,9.1,119.68566091576712,112.17730631170696,125.67119977726796,,,
Claude 2.1,Claude 2.1,9.3,118.44644368202307,107.72492456589528,123.31490213831466,,,
Claude 3 Haiku,Claude 3 Haiku,12.3,117.82634783357308,107.6564942133811,120.9888100632064,0.0,3100000.0,3100000.0
Claude 3 Opus,Claude 3 Opus,18.0,127.0160164940564,120.55220065280314,130.268598658666,,,
Claude 3 Sonnet,Claude 3 Sonnet,10.3,120.07911742095249,110.37116947710405,124.25691122880396,,,
Claude 3.5 Haiku,Claude 3.5 Haiku,18.7,127.52589047777197,121.2196360429216,131.99802240474983,0.0,2300000.0,2300000.0
Claude Haiku 4.5,Claude 4.5 Haiku (Reasoning),37.1,143.03284655367588,139.58336935850178,145.24462618242814,,,
Claude Instant,Claude Instant,7.4,121.3188362416804,112.46695974190058,125.3478922598475,,,
Claude Opus 4.6,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort)",53.0,155.03424458637127,153.28692491178833,157.49320290676584,,,
Claude Sonnet 4.6,"Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)",51.7,152.9315506996564,149.40100614393802,155.28357602738262,,,
DeepSeek-R1,DeepSeek R1 (Jan '25),18.8,139.79737613729642,136.84429801361205,141.51009260873258,,,
DeepSeek-R1 (May 2025),DeepSeek R1 0528 (May '25),27.1,142.08428730439883,139.83328826023964,,,,
DeepSeek-V3,DeepSeek V3 (Dec '24),16.5,133.1404848741002,127.89857301716756,136.77491810263294,,,
DeepSeek-V3.1,DeepSeek V3.1 (Reasoning),27.7,138.8704164719096,133.88756752917106,142.5889263868161,,,
DeepSeek-V3.2,DeepSeek V3.2 (Reasoning),41.7,146.4886876637475,144.87776753662197,147.68898835399648,,,
DeepSeek-V3.2-Exp,DeepSeek V3.2 Exp (Reasoning),32.9,145.1196623869907,142.62416253436766,147.843733934325,,,
GLM-4.6,GLM-4.6 (Reasoning),32.5,141.51385525636934,130.89764644762366,,,,
GLM-4.7,GLM-4.7-Flash (Reasoning),30.1,144.50629138871892,142.0609244267102,146.13427336807842,,,
GLM-4.7,GLM-4.7 (Reasoning),42.1,144.50629138871892,142.0609244267102,146.13427336807842,,,
GPT-3.5 Turbo,GPT-3.5 Turbo,9.0,109.11145261466466,123.90659327377514,,,,
GPT-4.1,GPT-4.1,26.3,137.5384100872206,134.43438536941483,139.1772266786707,0.0,4500000.0,4500000.0
GPT-4.1 mini,GPT-4.1 mini,22.9,135.81693359491763,131.32898751151754,138.122705896526,0.0,4600000.0,4600000.0
GPT-4.1 nano,GPT-4.1 nano,13.0,130.89417908770878,125.51298751319555,133.46528978152338,0.0,5200000.0,5200000.0
GPT-4o,GPT-4o (ChatGPT),14.1,123.79688132317456,132.11366920804068,,,,
GPT-4o mini,GPT-4o mini,12.6,127.08812529088948,120.1094562475456,129.25685257957858,,,
GPT-5 mini,GPT-5 mini (high),41.2,145.52475216755067,143.06556899232913,,,,
GPT-5.1,GPT-5.1 (high),47.7,149.68607523720135,148.66368928906024,150.83246752487895,,,
Gemini 1.0 Pro,Gemini 1.0 Pro,8.5,117.15630767619464,107.97883309418272,121.85528554137323,,,
