Model,Training compute (FLOP),N_actual,N_opt,N_ratio,D_actual,D_opt,D_ratio
Theseus,40.0,40.0,2.975264986600499,13.444180662947774,40.0,2.240696777157962,17.851589919603
ADALINE,6600.0,17.0,32.23676787652874,0.5273481530503412,100.0,34.12252755031616,2.930615261502616
Perceptron Mark I,694894.9377361819,1000.0,283.221742986578,3.5308023651538307,100.0,408.9227816153883,0.24454494710459748
Cognitron,5184000.0,21600.0,723.4491079825533,29.856972331108196,5.0,1194.2788932443252,0.004186626782306452
Credibilty Network,5443200.0,324.0,740.11009003933,0.43777271025014997,2800.0,1225.7635887004171,2.2842904013559617
Cancer drug mechanism prediction,53460000.0,594.0,2149.369924111922,0.27636005944645814,141.0,4145.4008916968605,0.034013598125676975
JPMAX,80828280.0,4446.0,2606.7169716969393,1.7055936828867582,1500.0,5167.9488591468635,0.29025055024395563
LTE speaker verification system,105917060.0,2061.0,2957.207168085555,0.6969413648940449,417.0,5969.430726343542,0.06985590739159564
Innervator,120000000.0,10.0,3134.6007774823256,0.0031901989152289694,10240.0,6380.3978304579205,1.6049155980709555
Neocognitron,273738240.0,1140576.0,4605.9675624292295,247.63005482358406,5.0,9905.202192943334,0.0005047852535066978
MLN-ASR,296425000.0,10000.0,4780.330336321169,2.091905641754408,12600.0,10334.885497617475,1.2191717076018604
ASE+ACE,324000000.0,324.0,4982.936203270608,0.06502190411094143,500000.0,10836.984018490206,46.13829817843169
Distributed representation NN,388800000.0,432.0,5425.460114225502,0.07962458315144559,100.0,11943.687472716803,0.00837262363306407
Samuel Neural Checkers,428400000.0,16.0,5676.6755277596485,0.0028185510906441652,,12577.78424199955,
MLP with back-propagation,673920000.0,720.0,7013.178346502508,0.10266386571490314,104.0,16015.563051524841,0.006493683654169009
Perceptron (1960),720000000.0,1000.0,7233.01702198963,0.13825489376837163,100.0,16590.587252204543,0.0060275141849913776
Fuzzy NN,1403117760.0,1166.0,9875.10174581935,0.11807473279894348,436.0,23681.06841015603,0.01841133146733422
GNN,1614600000.0,30.0,10543.738622331826,0.002845290562918495,207.0,25522.25634937882,0.008110568171024507
Bankruptcy-NN,3059337600.0,36.0,14207.699975016665,0.002533837289871246,74.0,35888.25783882026,0.0020619557609161607
Ceramic-MLP,4531200000.0,1888.0,17065.951101745446,0.11062963843878013,80.0,44251.8553755119,0.0018078338031510069
Speaker-independent vowel classification,7485696000.0,3040.0,21571.119049108616,0.14092917447069683,4104.0,57837.33320277377,0.07095762845101544
ALVINN,10548576000.0,36627.0,25315.59343728007,1.4468157774276231,55200.0,69447.15731652567,0.7948489489412778
ANN Eye Tracker,17534400000.0,5620.0,32090.765720853793,0.17512826116043442,4000.0,91066.69580342557,0.04392385124672039
Translation-invariant MLP,18032947200.0,816.0,32513.380058353396,0.025097359872627324,160.0,92438.59588286064,0.0017308787360071332
System 11,25859616000.0,6452.0,38469.92050646685,0.16771544924080126,23750.0,112033.92009285481,0.21198936875828114
NetTalk (dictionary),27664065000.0,18629.0,39700.11704104452,0.4692429491011361,5000.0,116137.62990253077,0.04305236816177738
NetTalk (transcription),28328002560.0,18629.0,40141.947033069504,0.4640781371330386,5120.0,117615.96307499686,0.04353150598048731
SOM-CNN,31431600000.0,32015.0,42137.49205872795,0.7597746907998224,129000.0,124321.58973056175,1.037631519027207
NETtalk reimplementation,35811936000.0,27480.0,44782.73655810732,0.6136293159383783,7242.0,133280.28742181527,0.0543366175155369
Deep learning linking mechanistic models to single-cell transcriptomics data reveals transcriptional bursting in response to DNA damage,39168000000.0,2176.0,46694.490427272336,0.04660078694699895,,139802.3608409963,
Weight Decay,75474000000.0,8386.0,63416.6203680427,0.1322366274224529,25000.0,198354.94113367857,0.12603668886247504
SexNet compression,78775200000.0,72940.0,64696.29775827711,1.127421545395435,81000.0,202935.8781711775,0.39914085537736244
Handwritten digit recognition network,181440000000.0,2578.0,95493.33763625132,0.026996647764265972,9840.0,316671.3065909231,0.03107322891338349
LISSOM,195544800000.0,432800.0,98888.52874206513,4.376645152936691,2000.0,329571.0879166556,0.006068493485404809
RNN for speech,226690156032.0184,7512.0,105949.6592126563,0.07090159662450946,,356600.4171487667,
Mixture of linear models,453600000000.0,384000.0,146446.30223536442,2.622121515795229,1792000.0,516230.1734221836,3.471319756690134
GELU for CIFAR-10,741600000000.0,9888.0,184208.72305767372,0.05367823974820224,50000.0,670977.9968525252,0.07451809185181008
NeuroChess,858730812676.0,72251.0,197256.32776773465,0.3662797580064154,9600000.0,725562.5395256728,13.231113070247366
MUSIC perceptron,881733600000.0,13607.0,199704.76979954104,0.06813557840235057,81000.0,735864.2467453829,0.11007465080448037
Invariant CNN,974230000000.0,90575.0,209221.52098602272,0.4329143559091656,24300.0,776075.3573601705,0.03131139234037367
Zip CNN,1496338054440.0,9760.0,255610.20693346875,0.038183138760731775,7291.0,975663.9953149877,0.007472859544895003
LeNet-5,2810937600000.0,60000.0,343053.26025931677,0.17489995563559288,60000.0,1365646.8375956048,0.043935224208945294
RankNet,3482081588304.0,5711.0,379101.7845576694,0.015064555833372068,3464289.0,1530847.2685274694,2.262988000973029
RECONTRA-uncategorized,3864000000000.0,112000.0,397968.1447051902,0.28142956035581235,57500.0,1618219.9720459138,0.03553287006296357
RECONTRA-categorized,8013600000000.0,66780.0,559350.3281201107,0.11938850599129383,40000.0,2387770.119825865,0.016752031390239994
Siamese-TDNN,12869570138112.0,744.0,697740.9432320958,0.001066298326358235,7701.0,3074104.1888930732,0.0025051200371881293
TD-Gammon,18232157622832.703,25000.0,820897.1602994044,0.030454484689509453,6300000.0,3701673.1012085257,1.7019331063953675
Predictive Coding NN,18621900000000.0,206910.0,829040.0618687732,0.24957780632891935,600000.0,3743667.0949337725,0.16027066103499632
Two Stage Feature Extraction (MNIST),20754000000000.0,258800.0,872057.5931985517,0.2967693900247663,50000.0,3966481.144109976,0.012605631587143045
BiLSTM for Speech,24124575958774.88,152061.0,935503.7012346054,0.1625445199193992,,4297965.528612557,
LSTM,31512000000000.0,10504.0,1059708.5551548945,0.009912159290310401,853000.0,4956079.6451551765,0.17211184264035215
PoE MNIST,51810000000000.0,3925310.0,1336464.2065528838,2.9370857676199766,54000.0,6461078.387031438,0.008357737944858841
Synergistic Face Detector,52603200000000.0,16636.0,1345973.9836887887,0.012359822850667012,,6513647.445080987,
Decision tree (classification),63000000000000.0,12000.0,1464164.6318836485,0.00819579966534364,753616.0,7171324.70717565,0.10508741840206029
ACF-WIDER,76380000000000.0,6144.0,1601848.703423094,0.003835568232424504,144448.0,7947067.6430279445,0.01817626406221997
Hybrid CNN/SVM Object Categorizer,97977600000000.0,3590057.0,1799244.404619329,1.9953136943391292,291600.0,9075809.799978126,0.03212936436820247
6-layer MLP (MNIST),130788000000000.0,12110000.0,2058871.9721728915,5.881861603671914,60000.0,10587350.88660939,0.005667140028001383
NPLM (Brown),132076260000000.0,4124233.0,2068311.1729208494,1.9940099217158882,13994528.0,10642842.473704644,1.3149239063320155
life2vec,163905134400000.0,8400000.0,2287568.895173587,3.672020553226916,3252086.0,11941726.632861447,0.2723296303778094
AFP+FPI (PTB),223363710000000.0,2040000.0,2643038.8219052767,0.7718388330480267,912344.0,14085031.476444192,0.06477401215082865
bRSM + cache,275400000000000.0,2550000.0,2914388.8201838904,0.8749690440546988,912344.0,15749442.792984497,0.05792865258740447
DiffStk-MRNN,276440230000000.0,1010000.0,2919520.7758359932,0.3459471870724367,912344.0,15781141.907946689,0.05781229300907456
Long-Range Autonomous Off-Road Driving System,278721000000000.0,12410.0,2930736.983877245,0.004234429793007927,450000.0,15850449.991095306,0.028390361172888307
ConvNet Processor,306000000000000.0,14423.0,3061265.434861293,0.004711450315857211,30000.0,16659777.16901591,0.0018007443734478288
Feedforward NN,350000000000000.0,7082000.0,3259338.0712461243,2.172833822449225,90000.0,17897294.499134533,0.005028693024208333
Image generation,475200000000000.0,784000.0,3759297.1640045047,0.20854962132465796,47040000.0,21067767.868511252,2.23279467922693
LBL,502000000000000.0,2000000.0,3856790.571883769,0.5185658808077676,929000.0,21693339.34712483,0.042824204477450674
RNNLM + Dynamic KL Regularization,502900000000000.0,13275200.0,3860015.827496857,3.4391568825790806,,21714073.312756248,
MTDP,600000000000000.0,20000000.0,4191488.1145080095,4.771575023861798,,23857875.119308863,
ADAM (CIFAR-10),624979800000000.0,2370000.0,4272038.0594820855,0.5547703384195326,50000.0,24382577.718099155,0.0020506445453831188
SVM-CNN,745200000000000.0,90857.0,4637582.519693477,0.019591457319449536,583200.0,26781194.614345837,0.02177647444029992
LSTM+NeuralCache,982800000000000.0,2100000.0,5276930.704218177,0.3979586084617977,2000000.0,31040771.46002005,0.06443138832989263
CNN committee (traffic sign),991981425600000.0,1388800.0,5299879.241807611,0.2620437064008136,53280.0,31195095.21949231,0.001707960806822859
GPU DBNs,1000000000000000.0,100000000.0,5319828.790318609,18.797597430576506,121344000000.0,31329329.05096066,3873.17582839455
Pooling CNN (Caltech 101),1221124128768000.0,294912.0,5839633.188092202,0.05050180216821928,3060.0,34851621.93800202,8.780079175205882e-05
2-layer-LSTM+Deep-Gradient-Compression,1340000000000000.0,6020000.0,6098362.385523124,0.9871502576315984,929000.0,36621853.4115818,0.025367367117094086
Pooling CNN (NORB),1456277227200000.0,268664.0,6339838.808124755,0.042377102656884026,24300.0,38283760.604284205,0.000634733882367885
Pointer Sentinel-LSTM (WT2),1600000000000000.0,21000000.0,6624508.282087945,3.1700466065960016,,40254560.083758526,
NPLM (AP News),1666869200000000.0,11904264.0,6752299.52705047,1.7629940662895924,13994528.0,41143247.89953224,0.3401415472636788
Tensorized Transformer (PTB),2000000000000000.0,12000000.0,7351539.924564681,1.6323110699436998,,45341974.16510252,
Multi-cell LSTM,2006640000000000.0,7200000.0,7362919.843562415,0.9778729298941289,929000.0,45422197.593582034,0.020452555121006823
PyramidNet,2340000000000000.0,26000000.0,7910398.983799343,3.286812719971335,1280000.0,49302190.79956974,0.02596233512631594
LCNP NORB,2452090060800000.0,16818176.0,8085024.061815005,2.0801640009250004,24300.0,50547985.22247723,0.0004807313267392998
LSTM-Char-Large,2650000000000000.0,19000000.0,8383249.595593447,2.26642422885597,929000.0,52684422.8637569,0.01763329556446722
LMICA,2782080000000000.0,4096000.0,8575711.10183367,0.4776280300678725,100000.0,54068985.591276824,0.0018494891092636556
DQN,2846883840000000.0,836096.0,8668358.631300738,0.09645378503156588,160000000.0,54737080.01497381,2.923064218190495
"GCRN-M1, dropout",3040000000000000.0,42000000.0,8937965.236449124,4.699056092624249,929000.0,56687025.879276335,0.016388229680252536
AWD-LSTM+WT+Cache+IOG (WT2),3180000000000000.0,53000000.0,9127748.069227945,5.806470511459122,2000000.0,58064705.11459089,0.034444332336709425
LCNP LabelMe,3295150080000000.0,13729792.0,9280529.352185596,1.4794190588672174,40000.0,59176762.354688354,0.0006759410013047284
ELMo,3300100000000010.0,94000000.0,9287032.575056938,10.121639957683005,2000000000.0,59224156.07154184,33.77000421220071
Search-Proven Best LSTM,3340000000000000.0,20000000.0,9339264.456504816,2.141496270198234,929000.0,59604979.52051718,0.015585946131903634
ISS,3400000000000000.0,11100000.000000002,9417186.039009,1.1786960514553124,929000.0,60173672.2965171,0.015438645582775431
VD-RHN,3570000000000000.0,32000000.0,9634063.170917828,3.3215476619042548,929000.0,61760026.83853188,0.01504209190887851
LCNP MNIST,4181852160000000.0,11616256.0,10372171.855403444,1.119944420699937,50000.0,67196665.24199583,0.0007440845437780974
RNN+weight noise+dynamic eval,4210000000000000.0,54000000.0,10404693.712278524,5.189965364984736,929000.0,67437512.92156056,0.013775715618109457
"Variational (untied weights, MC) LSTM (Large)",5886144000000000.0,66000000.0,12166119.203376727,5.424901638451939,929000.0,80635737.95394914,0.011520946215318939
Dropout (MNIST),6039370800000000.0,5594010.0,12312902.667478452,0.45432097946938393,60000.0,81748538.6819944,0.0007339580739590072
Neural LM,6339000000000000.0,6906980.0,12594299.19382776,0.5484211462424989,32000000.0,83887160.67010427,0.38146481230713736
AFP+FPI (WT2),6528000000000000.0,13600000.0,12768162.172924042,1.0651493782589903,,85211950.26071872,
Zoneout + Variational LSTM (PTB),7100000000000000.0,20000000.0,13278577.466002936,1.5061854367462089,,89115971.67415015,
Pointer Sentinel-LSTM (medium),7490000000000000.0,21000000.0,13614107.33845308,1.5425175869361223,929000.0,91694101.00120229,0.010131513258282767
4 layer Densely Connected LSTM 14M (PTB),7800000000000000.0,14000000.0,13874216.593230808,1.0090659826393773,,93698984.10222736,
R-Transformer,8649021100000000.0,15800000.0,14559581.838254174,1.0851960018856257,912344.0,99007205.88548906,0.00921492523539357
NAS with base 8 and shared embeddings,1.05e+16,54000000.0,15938691.388416413,3.3879820296442267,929000.0,109795713.92365484,0.008461168171336535
EI-REHN-1000D,1.06e+16,19000000.0,16009350.979675597,1.1868063873495642,929000.0,110352172.85881849,0.00841850210950116
