Model,Training compute (FLOP),N_actual,N_opt,N_ratio,D_actual,D_opt,D_ratio,arch
Luminous-extended,1.0019457e+23,30000000000.0,28815419213.502598,1.0411092678444296,460000000000.0,579519418970.4808,0.7937611492246323,dense
Evo 2 7B,1.008e+23,7000000000.0,28896543944.25469,0.24224350197393638,2400000000000.0,581384404737.4423,4.128077706322134,dense
Qwen-7B,1.01e+23,7000000000.0,28923285861.15562,0.24201952826532405,2400000000000.0,581999341780.8933,4.123716003966777,dense
Kimi Linear,1.026e+23,3000000000.0,29136212137.787678,0.10296465394378444,5700000000000.0,586898527479.5662,9.712070712595978,moe_active
OLMo-7B,1.0332e+23,7000000000.0,29231451052.647717,0.23946809850091094,2000000000000.0,589091522312.2357,3.3950581942680573,dense
Jais-30b (phase 1)																												 ,1.0372049e+23,30000000000.0,29284273215.414307,1.024440653839036,427000000000.0,590308258845.0238,0.7233508825294992,dense
DCLM 7B,1.05e+23,7000000000.0,29452307653.26166,0.23767237808358263,2500000000000.0,594180945208.9515,4.207472521894559,dense
ruGPT-3.5 13B,1.0699776e+23,13000000000.0,29712498686.386307,0.4375263129908475,300000000000.0,600183787577.9382,0.49984689058439924,dense
Baichuan 2-7B,1.092e+23,7000000000.0,29996336719.143593,0.2333618289973594,2600000000000.0,606740755393.1293,4.285190959877693,dense
OPT-66B,1.100000000001e+23,66000000000.0,30098688699.428894,2.1927865582148205,180000000000.0,609107377282.443,0.29551439813958125,dense
Meena,1.12e+23,2600000000.0,30352844668.789146,0.08565918708349259,53333333333.333336,614989035471.2235,0.08672241333939831,dense
PLaMo-13B,1.17e+23,13000000000.0,30977834673.312668,0.41965489638304093,1500000000000.0,629482344574.556,2.38291035948561,dense
UL2,1.2e+23,20000000000.0,31346007774.823208,0.6380397830457949,1000000000000.0,638039783045.7896,1.5673003887411736,dense
VARCO LLM 2.0 base,1.248e+23,13000000000.0,31925016371.692066,0.407204176456652,1600000000000.0,651526682330.6376,2.4557704901301802,dense
Aria,1.428e+23,3500000000.0,33996756576.439037,0.10295099746149386,6800000000000.0,700066782738.1522,9.713359021839809,moe_active
HyperCLOVA 82B,1.476e+23,82000000000.0,34525339325.390114,2.3750671710182663,300000000000.0,712520151305.4738,0.42104072348037086,dense
"Ling-lite-1.5 (""Bailing"")",1.485e+23,2750000000.0,34623422912.35514,0.07942600033974921,9000000000000.0,714834003057.7367,12.590335604492887,moe_active
StarCoder 2 7B,1.55e+23,7000000000.0,35322582485.331375,0.1981735056576606,658580000000.0,731354604212.7887,0.9004934079944414,dense
Llama 2-13B,1.6e+23,13000000000.0,35849820106.20658,0.3626238558934734,2000000000000.0,743843806960.9647,2.6887365079655163,dense
Jiutian,1.668e+23,13900000000.0,36552953763.8941,0.38027022630740176,2000000000000.0,760540452614.7969,2.629708903877296,dense
Ling-mini-base-2.0-20T,1.68e+23,1399999999.9999998,36675438940.94924,0.03817268560177632,20000000000000.0,763453712035.5199,26.196742100678257,moe_active
PaLI,1.69e+23,16900000000.0,36777153942.067856,0.4595244109052385,143507000000.0,765874018175.3909,0.18737677032299563,dense
Konan LLM 41B,1.722e+23,4100000000.0,37100502409.731316,0.11051063284050262,7000000000000.0,773574429883.5117,9.048903026763814,moe_active
Llama 3.2 3B,1.7334e+23,3210000000.0,37214920181.984886,0.08625572711973481,9000000000000.0,776301544077.6064,11.593433078500066,dense
Nemotron-3-8B,1.8e+23,8000000000.0,37875481086.9564,0.21121843922281028,3800000000000.0,792069147085.5317,4.797560937681185,dense
Granite 3.0 2B,1.8e+23,2500000000.0,37875481086.9564,0.06600576225712822,12000000000000.0,792069147085.5317,15.150192434782689,dense
Granite 3.1 2B,1.8e+23,2500000000.0,37875481086.9564,0.06600576225712822,12000000000000.0,792069147085.5317,15.150192434782689,dense
MAP-Neo,1.89e+23,7000000000.0,38747750751.565315,0.1806556474692203,4500000000000.0,812950413611.4844,5.535392964509379,dense
MPT-30B,1.8900000000001e+23,30000000000.0,38747750751.56627,0.7742384891537822,1050000000000.0,812950413611.5073,1.2915916917188186,dense
HyperCLOVA 204B,2.0000000001e+23,59523809526.78572,39784293804.5692,1.4961635317490405,560000000000.0,837851577779.4553,0.6683761358833495,moe_active
Baichuan2-13B,2.03e+23,13000000000.0,40061678360.11856,0.324499634866559,2600000000000.0,844531100998.8575,3.0786314404820447,dense
AlexaTM 20B,2.04374016e+23,19750000000.0,40187991866.52659,0.4914403303751583,1319000000000.0,847574969984.2787,1.5562045207923796,dense
Poro 34B,2.052e+23,34200000000.0,40263706826.68224,0.8494001843202399,1000000000000.0,849400184320.2325,1.1773013692012455,dense
phi-3-small 7.4B,2.1312e+23,7400000000.0,40981603985.28956,0.18056882309087383,4800000000000.0,866730350836.1868,5.538054592606746,dense
Teuken 7B,2.1444092e+23,7000000000.0,41099944080.24874,0.17031653343207262,4000000000000.0,869591288580.5736,4.599862087543639,dense
YaLM,2.2e+23,100000000000.0,41593765583.86369,2.4042064621048644,300000000000.0,881542369438.4426,0.34031262750434227,dense
BloombergGPT,2.36e+23,50558868480.0,42979028079.75925,1.1763613729508797,569000000000.0,915175030490.2035,0.6217389909504211,dense
AlphaCode,2.38010000000001e+23,41100000000.0,43149465212.90445,0.9525031144003256,967000000000.0,919323869661.0728,1.0518599939719873,dense
