Model,n_params,train_flops,infer_flops,total_flops,eci
GPT-4 (Jun 2023),1800000000000.0,2.1e+25,7.2e+24,2.8199999999999998e+25,122.07084199779749
GPT-4 (Mar 2023),1800000000000.0,2.1e+25,7.2e+24,2.8199999999999998e+25,126.16871695900504
Falcon-180B,180000000000.0,3.76e+24,7.2e+23,4.4799999999999997e+24,112.55514479073348
Mixtral 8x22B,141000000000.0,2.34e+24,5.64e+23,2.904e+24,121.32712747938352
Llama 3-70B,70000000000.0,7.861e+24,2.8e+23,8.141e+24,119.48564262408183
DeepSeek-V2 (MoE-236B),236000000000.0,1.02e+24,9.44e+23,1.9640000000000002e+24,125.0861765177252
Qwen2-72B,72710000000.0,3.02e+24,2.9084e+23,3.31084e+24,125.7621934208397
Gemma 2 27B,27000000000.0,2.106e+24,1.08e+23,2.214e+24,122.57903489610078
Llama 3.1-8B,8000000000.0,1.224e+24,3.2e+22,1.256e+24,115.95547058171856
Llama 3.1-70B,70000000000.0,7.929e+24,2.8e+23,8.209e+24,125.51410031657488
Llama 3.1-405B,405000000000.0,3.8e+25,1.62e+24,3.962e+25,127.94408573039593
Mistral Large 2,123000000000.0,2.13e+25,4.92e+23,2.1792e+25,128.83626615962672
Qwen2.5-72B,72700000000.0,7.8e+24,2.908e+23,8.090799999999999e+24,129.4534628467613
Llama 3.3 70B,70000000000.0,6.8649768e+24,2.8e+23,7.1449768e+24,127.54016479665808
DeepSeek-V3,671000000000.0,3.3e+24,2.684e+24,5.984000000000001e+24,133.1404848741002
DeepSeek-R1,671000000000.0,3.4999999999999997e+24,2.684e+24,6.184e+24,139.79737613729642
Gemma 3 27B,27000000000.0,2.268e+24,1.08e+23,2.376e+24,131.1158569203234
DeepSeek-V3 (Mar 2025),671000000000.0,3.3e+24,2.684e+24,5.984000000000001e+24,137.14758747799513
Llama 4 Scout,109000000000.0,4.08e+24,4.36e+23,4.516e+24,130.59311726948278
Llama 4 Maverick,400000000000.0,2.244000000001e+24,1.6e+24,3.844000000001e+24,133.10180932931883
Qwen3-235B-A22B,235000000000.0,4.752e+24,9.4e+23,5.692e+24,139.67506579922386
DeepSeek-R1 (May 2025),671000000000.0,4.020010000000001e+24,2.684e+24,6.704010000000001e+24,142.08428730439883
Kimi K2,1000000000000.0,2.976e+24,4e+24,6.976e+24,137.8269207000538
Qwen3-235B-A22B (Jul 2025),235000000000.0,4.752e+24,9.4e+23,5.692e+24,145.56099606186817
gpt-oss-120b,116830000000.0,4.94e+24,4.6732e+23,5.40732e+24,140.6661452813083
DeepSeek-V3.1,671000000000.0,3.594058e+24,2.684e+24,6.278058e+24,138.8704164719096
Qwen3-Max,1000000000000.0,1.512e+25,4e+24,1.912e+25,144.48951987850327
DeepSeek-V3.2-Exp,671000000000.0,4.18e+24,2.684e+24,6.863999999999999e+24,145.1196623869907
GLM-4.6,357000000000.0,4.42e+24,1.428e+24,5.848e+24,141.51385525636934
Kimi K2 Thinking,1000000000000.0,4.1999999999999997e+24,4e+24,8.2e+24,145.5037729115908
GLM-4.7,358000000000.0,4.42e+24,1.432e+24,5.852e+24,144.50629138871892
Kimi K2.5,1040000000000.0,5.8e+24,4.16e+24,9.96e+24,148.19317391917437
GLM-5,744000000000.0,6.84e+24,2.976e+24,9.815999999999999e+24,146.51307307457338
